suka server down,0
lebih diperbaiki lagi,0
layanan sistem informasi kurang cepat menyebar ke mahasiswa. jadi ada sebagian mahasiswa yang belom mendapatkan informasi terkini dari telkom university,0
untuk layanan sistem informasi yang paling terlihat kurang memuaskan yaitu akses internet tune karena sering kali kita mengalami kesulitan mengakses jaringan di tune,0
wqw bohong semua,0
ditingkatkan lagi kare tune masih kurang baik,0
"cukup lengkap, namun terkadang informasi yang diberikan berbeda-beda jawabannya dari orang yang memberikan informasi",0
igracias sangat sering error,0
Kadang informasi yang diberikan oleh pihak kampus tidak sampai ke mahasiswa,0
"Good, wifi masih lambat",0
"Mastin good, mantap good",1
Y,1
sudah cukup baik tingkatkan lagi,1
jadilah lebih baik,1
Cukup bagus,1
syudah bagus,1
cukup bagus,1
Sudah baik,1
harus lebih baik,1
sudah cukup baik menurut saya,1
mantap,1
lbh baik lg kedepan,1
sudah baik dan cepat dalam menyampaikan informasi,1
Dalam layanan Sistem Informasi sudah sangat baik,1
mantap,1
Tingkatkan,1
Baik,1
Sudah cukup baik,1
lebih ditingkatkan lagi,1
"tidak ada saran, udah bagus juga sistim informasi tel u cuman mungkin jauh lebih baik lagi apabila applikasi I-Gracias bisa dibuat di android maupun os os lain",1
tingkatkan lagi,1
cukup baik,1
sudah cukup baik,1
lanjutkan,1
dengan media internet kamisudah sangat terbantu dengan layanan informasi dengan di berikan internet free access,1
semoga semakin baik lagi,1
untuk layanan sistem informasi sudah cukup baik mungkin perlu ditingkatkan lagi saja,1
layanan sistem informasi seperti tune itu sangat baik dan cepat,1
baik,1
tingkatkan,1
cukup memuaskan,1
menurut saya sudah cukup baik,1
semoga kedepannya bisa lebih baik lagi,1
lebih di tingkatkan lagi,1
makin di tingkatkan,1
sudah bagus hanya perlu ditingkatkan,1
Lebih ditingkatkan lagi,1
baik,1
semua sudah berjalan dengan baik,1
sudah baik,1
Sudah Baik,1
Pertahankan,1
pemberian informasi terkait perkuliahan sudah baik,1
